station code,Country,station name,longitude,latitude,URL
C1U720,宜蘭縣,南山,121.381669,24.437419,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0U720&stname=%25E5%258D%2597%25E5%25B1%25B1&datepicker=
C0U730,宜蘭縣,思源,121.356664,24.397208,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0U730&stname=%25E6%2580%259D%25E6%25BA%2590&datepicker=
C0AH90,新北市,福山植物園,121.58135,24.760717,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0AH90&stname=%25E7%25A6%258F%25E5%25B1%25B1%25E6%25A4%258D%25E7%2589%25A9%25E5%259C%2592&datepicker=
C1F9W0,臺中市,德基,121.190261,24.254783,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1F9W0&stname=%25E5%25BE%25B7%25E5%259F%25BA&datepicker=
C0F9Z0,臺中市,雪山東峰,121.268675,24.388792,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0F9Z0&stname=%25E9%259B%25AA%25E5%25B1%25B1%25E6%259D%25B1%25E5%25B3%25B0&datepicker=
C0F861,臺中市,梨山,121.243669,24.247522,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0F861&stname=%25E6%25A2%25A8%25E5%25B1%25B1&datepicker=
C0F9Y0,臺中市,桃山,121.303808,24.432739,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0F9Y0&stname=%25E6%25A1%2583%25E5%25B1%25B1&datepicker=
C0F0E0,臺中市,南湖圈谷,121.444667,24.363714,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0F0E0&stname=%25E5%258D%2597%25E6%25B9%2596%25E5%259C%2588%25E8%25B0%25B7&datepicker=
C0F0D0,臺中市,審馬陣,121.4203,24.381675,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0F0D0&stname=%25E5%25AF%25A9%25E9%25A6%25AC%25E9%2599%25A3&datepicker=
C1T920,花蓮縣,中興,121.498653,23.769503,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1T920&stname=%25E4%25B8%25AD%25E8%2588%2588&datepicker=
C0Z200,花蓮縣,萬榮,121.420106,23.709219,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0Z200&stname=%25E8%2590%25AC%25E6%25A6%25AE&datepicker=
C0Z160,花蓮縣,鳳林,121.453411,23.746114,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0Z160&stname=%25E9%25B3%25B3%25E6%259E%2597&datepicker=
C0Z080,花蓮縣,富源,121.378225,23.587642,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0Z080&stname=%25E5%25AF%258C%25E6%25BA%2590&datepicker=
C0T9H0,花蓮縣,加路蘭山,121.5274,23.682947,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0T9H0&stname=%25E5%258A%25A0%25E8%25B7%25AF%25E8%2598%25AD%25E5%25B1%25B1&datepicker=
C1Z140,花蓮縣,荖溪,121.45964,23.890575,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1Z140&stname=%25E8%258D%2596%25E6%25BA%25AA&datepicker=
C1T910,花蓮縣,東壙,121.404706,23.853572,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1T910&stname=%25E6%259D%25B1%25E5%25A3%2599&datepicker=
C0T9G0,花蓮縣,鳳林山,121.420131,23.735269,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0T9G0&stname=%25E9%25B3%25B3%25E6%259E%2597%25E5%25B1%25B1&datepicker=
C1T800,花蓮縣,洛韶,121.453956,24.204558,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1T800&stname=%25E6%25B4%259B%25E9%259F%25B6&datepicker=
C0T900,花蓮縣,西林,121.441458,23.8119,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0T900&stname=%25E8%25A5%25BF%25E6%259E%2597&datepicker=
C0T790,花蓮縣,大禹嶺,121.316086,24.186117,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0T790&stname=%25E5%25A4%25A7%25E7%25A6%25B9%25E5%25B6%25BA&datepicker=
C1T830,花蓮縣,布洛灣,121.57127,24.17184,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1T830&stname=%25E5%25B8%2583%25E6%25B4%259B%25E7%2581%25A3&datepicker=
C1T940,花蓮縣,大觀,121.373133,23.714206,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1T940&stname=%25E5%25A4%25A7%25E8%25A7%2580&datepicker=
C1Z110,花蓮縣,三棧,121.60501,24.11557,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1Z110&stname=%25E4%25B8%2589%25E6%25A3%25A7&datepicker=
C0T9C0,花蓮縣,富世,121.629633,24.148153,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0T9C0&stname=%25E5%25AF%258C%25E4%25B8%2596&datepicker=
C1Z090,花蓮縣,三棧,121.605119,24.116964,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1Z090&stname=%25E4%25B8%2589%25E6%25A3%25A7&datepicker=
C0T960,花蓮縣,光復,121.424964,23.660694,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0T960&stname=%25E5%2585%2589%25E5%25BE%25A9&datepicker=
C1TA00,花蓮縣,太魯閣,121.6236,24.15773,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1TA00&stname=%25E5%25A4%25AA%25E9%25AD%25AF%25E9%2596%25A3&datepicker=
C0T9B0,花蓮縣,水源,121.537169,23.991861,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0T9B0&stname=%25E6%25B0%25B4%25E6%25BA%2590&datepicker=
C1T890,花蓮縣,壽豐,121.507878,23.869097,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1T890&stname=%25E5%25A3%25BD%25E8%25B1%2590&datepicker=
C0T9D0,花蓮縣,和中,121.74103,24.26676,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0T9D0&stname=%25E5%2592%258C%25E4%25B8%25AD&datepicker=
C1T980,花蓮縣,龍澗,121.411328,24.023289,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1T980&stname=%25E9%25BE%258D%25E6%25BE%2597&datepicker=
C0Z220,花蓮縣,和平林道,121.656317,24.343922,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0Z220&stname=%25E5%2592%258C%25E5%25B9%25B3%25E6%259E%2597%25E9%2581%2593&datepicker=
C0Z230,花蓮縣,和平,121.77007,24.30717,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0Z230&stname=%25E5%2592%258C%25E5%25B9%25B3&datepicker=
C1Z130,花蓮縣,銅門,121.492842,23.965694,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1Z130&stname=%25E9%258A%2585%25E9%2596%2580&datepicker=
C1T860,花蓮縣,銅門,121.492692,23.966031,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1T860&stname=%25E9%258A%2585%25E9%2596%2580&datepicker=
C0T820,花蓮縣,天祥,121.495639,24.179597,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0T820&stname=%25E5%25A4%25A9%25E7%25A5%25A5&datepicker=
C0Z180,花蓮縣,新城,121.60454,24.03946,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0Z180&stname=%25E6%2596%25B0%25E5%259F%258E&datepicker=
C0Z190,花蓮縣,富世,121.6297,24.14743,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0Z190&stname=%25E5%25AF%258C%25E4%25B8%2596&datepicker=
C0Z310,花蓮縣,清水斷崖,121.689142,24.218294,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0Z310&stname=%25E6%25B8%2585%25E6%25B0%25B4%25E6%2596%25B7%25E5%25B4%2596&datepicker=
C1T930,花蓮縣,鳳林,121.445619,23.743603,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1T930&stname=%25E9%25B3%25B3%25E6%259E%2597&datepicker=
C0T870,花蓮縣,鯉魚潭,121.508944,23.935639,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0T870&stname=%25E9%25AF%2589%25E9%25AD%259A%25E6%25BD%25AD&datepicker=
466990,花蓮縣,花蓮,121.613275,23.975128,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=466990&stname=%25E8%258A%25B1%25E8%2593%25AE&datepicker=
C0Z100,花蓮縣,東華,121.549833,23.89525,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0Z100&stname=%25E6%259D%25B1%25E8%258F%25AF&datepicker=
C0Z150,花蓮縣,吉安光華,121.595153,23.930925,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0Z150&stname=%25E5%2590%2589%25E5%25AE%2589%25E5%2585%2589%25E8%258F%25AF&datepicker=
C0T841,花蓮縣,新城,121.609461,24.037928,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0T841&stname=%25E6%2596%25B0%25E5%259F%258E&datepicker=
C1T850,花蓮縣,吉安,121.562756,23.973325,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1T850&stname=%25E5%2590%2589%25E5%25AE%2589&datepicker=
C0T9I0,花蓮縣,豐濱,121.514806,23.583897,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0T9I0&stname=%25E8%25B1%2590%25E6%25BF%25B1&datepicker=
C0Z270,花蓮縣,蕃薯寮,121.540108,23.73835,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0Z270&stname=%25E8%2595%2583%25E8%2596%25AF%25E5%25AF%25AE&datepicker=
C1T810,花蓮縣,慈恩,121.388386,24.192044,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1T810&stname=%25E6%2585%2588%25E6%2581%25A9&datepicker=
C1T970,花蓮縣,大農,121.413331,23.615233,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1T970&stname=%25E5%25A4%25A7%25E8%25BE%25B2&datepicker=
C0T9A0,花蓮縣,月眉山,121.539828,23.809928,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0T9A0&stname=%25E6%259C%2588%25E7%259C%2589%25E5%25B1%25B1&datepicker=
C0T9F0,花蓮縣,水璉,121.542514,23.797131,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0T9F0&stname=%25E6%25B0%25B4%25E7%2592%2589&datepicker=
C1Z120,花蓮縣,壽豐,121.508081,23.870853,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1Z120&stname=%25E5%25A3%25BD%25E8%25B1%2590&datepicker=
C0T9E0,花蓮縣,大坑,121.581981,23.880628,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0T9E0&stname=%25E5%25A4%25A7%25E5%259D%2591&datepicker=
C1T950,花蓮縣,太安,121.370128,23.666719,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1T950&stname=%25E5%25A4%25AA%25E5%25AE%2589&datepicker=
C1E890,苗栗縣,國三N149K,121.680019,24.463414,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1E890&stname=%25E5%259C%258B%25E4%25B8%2589N149K&datepicker=
C1H910,南投縣,魚池,120.92905,23.900897,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1H910&stname=%25E9%25AD%259A%25E6%25B1%25A0&datepicker=
C1I040,南投縣,文文社,120.993467,23.849319,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1H910&stname=%25E9%25AD%259A%25E6%25B1%25A0&datepicker=
C1I160,南投縣,龍神橋,120.871547,23.779881,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1I160&stname=%25E9%25BE%258D%25E7%25A5%259E%25E6%25A9%258B&datepicker=
C1I270,南投縣,水里,120.854092,23.831978,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1I270&stname=%25E6%25B0%25B4%25E9%2587%258C&datepicker=
C1I300,南投縣,上安橋,120.873836,23.728253,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1I300&stname=%25E4%25B8%258A%25E5%25AE%2589%25E6%25A9%258B&datepicker=
C1H870,南投縣,仁愛,121.130736,24.018611,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1H870&stname=%25E4%25BB%2581%25E6%2584%259B&datepicker=
C1H880,南投縣,凌霄,121.014883,24.016786,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1H880&stname=%25E5%2587%258C%25E9%259C%2584&datepicker=
C1H850,南投縣,翠巒,121.226581,24.192864,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1H850&stname=%25E7%25BF%25A0%25E5%25B7%2592&datepicker=
C0U640,宜蘭縣,羅東,121.747817,24.683783,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C0U640&stname=%25E7%25BE%2585%25E6%259D%25B1&datepicker=
C1T880,花蓮縣,吳全城,121.547933,23.886928,https://e-service.cwb.gov.tw/HistoryDataQuery/MonthDataController.do?command=viewMain&station=C1T880&stname=%25E5%2590%25B3%25E5%2585%25A8%25E5%259F%258E&datepicker=
